BldgID,BuildingSF,StarRating,BuildingClass,SalePrice,PricePerSF,SaleStatus,SecondaryType,LandAreaAC,NumberOfFloors,CeilingHeightDecimals,LocationType,PropertyZipCode,MSA,NearestMajorHighwayInterchange,DistancetoNearestInterchange,GeographicMedicalCostIndexbyZipCode,quarter,year
358,194072,3,A,17600000,90.69,Sold,Warehouse,38,1,32,Suburban,8085,37980,19007,25.14,1.1245,2019Q1,2019
359,234992,4,A,28000000,119.15,Sold,Distribution,15.24,2,28.5,Suburban,8086,37980,19007,19.35,1.1245,2020Q4,2020
360,183000,4,B,20200000,110.38,Sold,Distribution,12.69,2,23,Suburban,8086,37980,19007,19.35,1.1245,2020Q1,2020
361,58000,3,B,3683000,63.5,Sold,Distribution,3.38,1,24,Urban,8109,37980,19007,15.06,1.1245,2019Q3,2019
362,110000,3,B,4000000,36.36,Sold,Manufacturing,7,1,16,Urban,8109,37980,19007,15.06,1.1245,2019Q2,2019
363,58000,3,B,3683000,63.5,Sold,Distribution,3.38,1,24,Urban,8109,37980,19007,15.06,1.1245,2019Q3,2019
364,110000,3,B,4000000,36.36,Sold,Manufacturing,7,1,16,Urban,8109,37980,19007,15.06,1.1245,2019Q2,2019
365,63347,2,B,1900000,29.99,Sold,Warehouse,4.11,1,14,Urban,8110,37980,19007,14.49,1.1245,2021Q1,2021
366,220000,2,C,10600000,48.18,Sold,Manufacturing,13.86,1,30,Urban,8110,37980,19007,14.49,1.1245,2020Q4,2020
367,116284,3,B,10700000,92.02,Sold,Warehouse,8.74,1,17.2,Urban,8110,37980,19007,14.49,1.1245,2020Q1,2020
368,355000,3,B,10100000,28.45,Sold,Warehouse,19.38,1,21,Urban,8110,37980,19007,14.49,1.1245,2019Q4,2019
369,116284,3,B,6035000,51.9,Sold,Warehouse,8.74,1,17.2,Urban,8110,37980,19007,14.49,1.1245,2019Q3,2019
370,85450,2,C,1400000,16.38,Sold,Manufacturing,6.88,2,21.5,Suburban,8332,37980,19007,51.34,1.1245,2021Q1,2021
371,85450,2,C,1400000,16.38,Sold,Manufacturing,6.88,2,21.5,Suburban,8332,37980,19007,51.34,1.1245,2020Q3,2020
372,269500,5,A,21950000,81.45,Sold,Distribution,16.83,1,30,Suburban,8360,37980,19007,43.48,1.1245,2020Q4,2020
373,432000,3,B,23200000,53.7,Sold,Distribution,30.84,1,31.3,Suburban,8360,37980,19007,43.48,1.1245,2020Q3,2020
374,50274,3,C,2613875,51.99,Sold,Warehouse,2.79,1,21,Suburban,8360,37980,19007,43.48,1.1245,2020Q1,2020
375,100920,3,B,13119600,130,Sold,Warehouse,9.85,1,24,Suburban,8512,37980,19007,22.08,1.206,2020Q3,2020
376,635000,5,A,61982446,97.61,Sold,Warehouse,51.01,1,36,Suburban,8520,37980,19007,20.09,1.1245,2020Q3,2020
377,615000,3,B,56100000,91.22,Sold,Warehouse,51.49,1,32,Suburban,8520,37980,19007,20.09,1.1245,2019Q2,2019
378,60000,3,B,6000000,100,Sold,Warehouse,4.93,1,24,Suburban,8527,37980,19007,28.17,1.1245,2020Q2,2020
379,60000,3,B,300000,5,Sold,Warehouse,4.93,1,24,Suburban,8527,37980,19007,28.17,1.1245,2020Q2,2020
380,120298,4,C,9700000,80.63,Sold,Warehouse,15.16,1,23.5,Suburban,8618,37980,19007,9.77,1.1245,2020Q4,2020
381,117000,2,C,2600000,22.22,Sold,Warehouse,14.28,3,10,Suburban,8619,37980,19007,12.4,1.1245,2020Q2,2020
382,70000,2,C,3000000,42.86,Sold,Warehouse,6.05,2,17,Suburban,8619,37980,19007,12.4,1.1245,2020Q1,2020
383,79400,2,C,6000000,75.57,Sold,Warehouse,12,1,25,Suburban,8619,37980,19007,12.4,1.1245,2019Q3,2019
384,76220,4,A,8500000,111.52,Sold,Manufacturing,13.56,1,30,Suburban,8619,37980,19007,12.4,1.1245,2019Q2,2019
385,150000,3,C,3100000,20.67,Sold,Warehouse,3.86,1,21.5,Suburban,8638,37980,19007,10.98,1.1245,2019Q4,2019
386,111221,3,B,5600000,50.35,Sold,Warehouse,10.52,1,19.5,Suburban,8648,37980,19007,13.37,1.1245,2019Q1,2019
387,145950,4,A,29600000,202.81,Sold,Warehouse,16.18,1,36,Suburban,8691,37980,19007,15.4,1.1245,2020Q4,2020
388,176890,3,B,12100000,68.4,Sold,Warehouse,18.57,1,23,Suburban,8691,37980,19007,15.4,1.1245,2019Q1,2019
389,85710,2,C,8500000,99.17,Sold,Warehouse,5.13,1,24,Suburban,8701,37980,19007,34.2,1.1245,2020Q1,2020
390,69000,2,C,5600000,81.16,Sold,Warehouse,6.38,1,36.5,Suburban,8701,37980,19007,34.2,1.1245,2019Q3,2019
391,72876,3,C,8600000,118.01,Sold,Warehouse,10.74,1,22,Suburban,8701,37980,19007,34.2,1.1245,2019Q2,2019
392,72876,3,C,2850000,39.11,Sold,Warehouse,10.74,1,22,Suburban,8701,37980,19007,34.2,1.1245,2019Q2,2019
393,144551,3,B,19804350,137.01,Sold,Warehouse,12.75,1,22,Suburban,8810,37980,19007,25.64,1.206,2020Q4,2020
394,65700,3,B,19000000,289.19,Sold,Warehouse,5.97,1,34,Suburban,8810,37980,19007,25.64,1.206,2020Q3,2020
395,102108,3,B,11742420,115,Sold,Undetermined,19.35,1,25,Suburban,8810,37980,19007,25.64,1.206,2020Q3,2020
396,248000,2,B,33327980,134.39,Sold,Warehouse,17.31,1,16,Suburban,8817,37980,7114,17.51,1.206,2020Q4,2020
397,359950,3,B,14236051,79.1,Sold,Distribution,19.76,1,22,Suburban,8817,37980,7114,17.51,1.206,2020Q4,2020
398,699600,4,B,28000000,40.02,Sold,Distribution,50.5,1,40,Suburban,8817,37980,7114,17.51,1.206,2020Q4,2020
399,124560,4,B,28805000,231.25,Sold,Distribution,7.51,1,36,Suburban,8817,37980,7114,17.51,1.206,2020Q3,2020
400,179680,4,B,27500000,153.05,Sold,Distribution,10.96,1,27,Suburban,8817,37980,7114,17.51,1.206,2019Q2,2019
401,218000,4,B,26425000,121.22,Sold,Warehouse,10.7,1,24,Suburban,8817,37980,7114,17.51,1.206,2019Q2,2019
402,101454,3,B,12175000,120.01,Sold,Warehouse,7.52,1,22,Suburban,8817,37980,7114,17.51,1.206,2019Q1,2019
403,67000,2,C,7400000,110.45,Sold,Warehouse,2.3,1,25,Suburban,8820,37980,7114,13.09,1.206,2019Q3,2019
404,145000,3,C,8200000,56.55,Sold,Warehouse,18.76,1,17,Suburban,8822,37980,19007,28.1,1.206,2020Q1,2020
405,154788,4,B,19350000,125.01,Sold,Warehouse,7.72,1,19,Suburban,8830,37980,7114,11.91,1.206,2019Q4,2019
406,78272,4,B,10700000,136.7,Sold,Warehouse,5.55,1,26,Suburban,8831,37980,19007,27.28,1.206,2020Q3,2020
407,70000,3,C,4176751,59.67,Sold,Warehouse,4,1,22,Suburban,8837,37980,7114,14.89,1.206,2021Q1,2021
408,177559,3,B,7970000,44.89,Sold,Manufacturing,69.06,1,25,Suburban,8844,37980,7114,28.49,1.206,2020Q1,2020
409,146505,3,B,28250000,192.83,Sold,Distribution,7.9,1,36,Suburban,8854,37980,7114,18.15,1.206,2020Q3,2020
410,123063,4,B,20550,0.17,Sold,Warehouse,7.83,1,27,Suburban,8854,37980,7114,18.15,1.206,2020Q2,2020
411,197200,5,A,37906222,192.22,Sold,Distribution,18.31,1,36,Suburban,8854,37980,7114,18.15,1.206,2019Q4,2019
